step,block_name,auc
1,D0R0,0.53650
1,D0R1,0.66022
1,D1R0,0.65998
1,D1R1,0.61587
1,D2R0,0.60561
1,D2R1,0.59146
1,D3R0,0.64477
1,D3R1,0.70103
1,MidR0,0.67673
1,MidR1,0.69265
1,U0R0,0.64843
1,U0R1,0.65279
1,U0R2,0.61163
1,U1R0,0.67378
1,U1R1,0.61882
1,U1R2,0.70126
1,U2R0,0.75351
1,U2R1,0.76283
1,U2R2,0.74278
1,U3R0,0.69607
1,U3R1,0.70633
1,U3R2,0.70114
2,D0R0,0.55620
2,D0R1,0.66234
2,D1R0,0.66093
2,D1R1,0.64725
2,D2R0,0.62637
2,D2R1,0.61965
2,D3R0,0.65975
2,D3R1,0.69619
2,MidR0,0.68805
2,MidR1,0.70527
2,U0R0,0.68050
2,U0R1,0.66965
2,U0R2,0.64335
2,U1R0,0.70728
2,U1R1,0.61411
2,U1R2,0.67956
2,U2R0,0.75398
2,U2R1,0.75658
2,U2R2,0.75481
2,U3R0,0.69324
2,U3R1,0.69961
2,U3R2,0.71754
3,D0R0,0.55113
3,D0R1,0.66376
3,D1R0,0.67496
3,D1R1,0.66116
3,D2R0,0.66281
3,D2R1,0.64194
3,D3R0,0.68334
3,D3R1,0.69041
3,MidR0,0.70751
3,MidR1,0.72296
3,U0R0,0.67826
3,U0R1,0.68062
3,U0R2,0.63746
3,U1R0,0.70916
3,U1R1,0.66128
3,U1R2,0.68357
3,U2R0,0.75044
3,U2R1,0.75964
3,U2R2,0.72096
3,U3R0,0.72827
3,U3R1,0.71659
3,U3R2,0.73252
4,D0R0,0.58356
4,D0R1,0.66635
4,D1R0,0.68569
4,D1R1,0.66010
4,D2R0,0.67437
4,D2R1,0.66977
4,D3R0,0.68510
4,D3R1,0.68782
4,MidR0,0.74325
4,MidR1,0.75941
4,U0R0,0.68216
4,U0R1,0.70716
4,U0R2,0.64890
4,U1R0,0.71388
4,U1R1,0.71105
4,U1R2,0.71565
4,U2R0,0.74219
4,U2R1,0.75068
4,U2R2,0.72815
4,U3R0,0.72792
4,U3R1,0.73346
4,U3R2,0.73523
5,D0R0,0.58698
5,D0R1,0.66871
5,D1R0,0.69784
5,D1R1,0.66128
5,D2R0,0.66281
5,D2R1,0.68923
5,D3R0,0.67897
5,D3R1,0.67791
5,MidR0,0.73063
5,MidR1,0.76731
5,U0R0,0.69678
5,U0R1,0.70280
5,U0R2,0.65008
5,U1R0,0.72532
5,U1R1,0.71034
5,U1R2,0.69737
5,U2R0,0.75457
5,U2R1,0.75646
5,U2R2,0.71883
5,U3R0,0.72780
5,U3R1,0.74820
5,U3R2,0.74219
6,D0R0,0.59288
6,D0R1,0.66883
6,D1R0,0.71140
6,D1R1,0.66046
6,D2R0,0.67791
6,D2R1,0.69631
6,D3R0,0.65255
6,D3R1,0.65279
6,MidR0,0.73594
6,MidR1,0.73924
6,U0R0,0.68947
6,U0R1,0.69029
6,U0R2,0.66010
6,U1R0,0.69867
6,U1R1,0.72108
6,U1R2,0.72131
6,U2R0,0.74962
6,U2R1,0.75893
6,U2R2,0.73240
6,U3R0,0.74113
6,U3R1,0.75174
6,U3R2,0.74832
7,D0R0,0.60467
7,D0R1,0.67296
7,D1R0,0.70751
7,D1R1,0.67614
7,D2R0,0.69678
7,D2R1,0.70952
7,D3R0,0.63864
7,D3R1,0.62672
7,MidR0,0.71742
7,MidR1,0.72296
7,U0R0,0.70079
7,U0R1,0.70657
7,U0R2,0.67178
7,U1R0,0.73558
7,U1R1,0.73535
7,U1R2,0.75068
7,U2R0,0.74914
7,U2R1,0.76035
7,U2R2,0.76294
7,U3R0,0.74938
7,U3R1,0.76908
7,U3R2,0.75292
8,D0R0,0.60113
8,D0R1,0.66954
8,D1R0,0.68841
8,D1R1,0.67649
8,D2R0,0.70657
8,D2R1,0.70386
8,D3R0,0.63816
8,D3R1,0.62354
8,MidR0,0.70952
8,MidR1,0.72049
8,U0R0,0.70032
8,U0R1,0.70185
8,U0R2,0.66564
8,U1R0,0.75198
8,U1R1,0.76978
8,U1R2,0.78122
8,U2R0,0.75150
8,U2R1,0.75964
8,U2R2,0.76047
8,U3R0,0.75091
8,U3R1,0.79361
8,U3R2,0.75799
9,D0R0,0.61552
9,D0R1,0.66871
9,D1R0,0.68251
9,D1R1,0.66293
9,D2R0,0.71341
9,D2R1,0.69749
9,D3R0,0.65185
9,D3R1,0.62448
9,MidR0,0.70869
9,MidR1,0.74054
9,U0R0,0.70928
9,U0R1,0.70846
9,U0R2,0.71659
9,U1R0,0.76000
9,U1R1,0.78759
9,U1R2,0.77757
9,U2R0,0.75304
9,U2R1,0.73888
9,U2R2,0.72992
9,U3R0,0.74230
9,U3R1,0.79561
9,U3R2,0.74726
10,D0R0,0.62720
10,D0R1,0.66623
10,D1R0,0.68168
10,D1R1,0.67119
10,D2R0,0.70964
10,D2R1,0.70751
10,D3R0,0.66753
10,D3R1,0.63557
10,MidR0,0.71317
10,MidR1,0.73523
10,U0R0,0.73428
10,U0R1,0.69772
10,U0R2,0.74171
10,U1R0,0.76802
10,U1R1,0.79573
10,U1R2,0.79573
10,U2R0,0.73676
10,U2R1,0.71825
10,U2R2,0.71530
10,U3R0,0.73499
10,U3R1,0.79042
10,U3R2,0.74832
11,D0R0,0.63533
11,D0R1,0.66812
11,D1R0,0.68664
11,D1R1,0.67119
11,D2R0,0.68829
11,D2R1,0.71211
11,D3R0,0.70728
11,D3R1,0.66081
11,MidR0,0.72792
11,MidR1,0.72556
11,U0R0,0.73936
11,U0R1,0.68852
11,U0R2,0.72910
11,U1R0,0.79715
11,U1R1,0.79844
11,U1R2,0.79231
11,U2R0,0.74124
11,U2R1,0.70964
11,U2R2,0.72568
11,U3R0,0.72780
11,U3R1,0.78464
