step,block,auc_mean,ci_low,ci_high
1,U2R1,0.76421,0.69591,0.83035
2,U2R1,0.75798,0.69035,0.82371
3,U2R1,0.76067,0.69385,0.82534
4,MidR1,0.76111,0.68948,0.82808
5,MidR1,0.76789,0.69336,0.83329
6,U2R1,0.76076,0.68528,0.83021
7,U3R1,0.77058,0.69478,0.83879
8,U3R1,0.79458,0.72295,0.85904
9,U3R1,0.79639,0.72729,0.85788
10,U1R1,0.79632,0.72069,0.86051
11,U1R1,0.79921,0.72532,0.86075
12,U1R0,0.82327,0.75975,0.88179
13,U1R0,0.83953,0.77967,0.89494
14,U1R0,0.84068,0.78454,0.89185
15,U1R0,0.83428,0.77606,0.88820
16,U1R0,0.82924,0.77320,0.88264
17,U3R1,0.82311,0.75332,0.88293
18,U3R1,0.82231,0.75309,0.88266
19,U3R1,0.81794,0.74948,0.87872
20,D3R0,0.81533,0.74573,0.87750
21,D3R0,0.81884,0.74909,0.88015
22,D3R0,0.81115,0.73476,0.87226
23,U0R1,0.80652,0.74088,0.87512
24,U0R1,0.81164,0.74720,0.87667
25,U0R1,0.81667,0.75323,0.88093
26,U0R1,0.82146,0.75800,0.88297
27,U0R1,0.81814,0.75390,0.87951
28,U0R1,0.81303,0.75168,0.87336
29,U0R1,0.80747,0.74369,0.86751
30,U3R2,0.80585,0.73669,0.87092
31,U3R2,0.80464,0.73396,0.87142
32,U3R2,0.80190,0.72976,0.86944
33,U3R2,0.79778,0.72502,0.86560
34,U3R2,0.79376,0.72087,0.86248
35,U3R2,0.79017,0.71747,0.85877
36,MidR1,0.79010,0.72275,0.84980
37,MidR1,0.78785,0.72274,0.84614
38,U3R2,0.78695,0.71169,0.85763
39,U3R2,0.78688,0.71010,0.85543
40,U3R2,0.78412,0.70872,0.85254
41,U2R2,0.78343,0.71214,0.84911
42,U2R2,0.78452,0.71413,0.84934
43,U2R2,0.78368,0.71213,0.85093
44,U2R2,0.77916,0.70598,0.84702
45,U2R2,0.77839,0.70689,0.84265
46,U1R2,0.77782,0.70336,0.84032
47,U1R2,0.77713,0.70615,0.84047
48,D3R0,0.78058,0.69899,0.84665
49,U1R0,0.79641,0.72760,0.85566
50,U1R0,0.80987,0.73934,0.87139
