method,threshold,defect_rate,unet_calls_per_accepted,fpr,fnr,abort_rate,accept_frac
IDP,0.1,0.1604,59.891,0.3260,0.3481,0.4140,0.5860
IDP,0.2,0.1698,58.013,0.2767,0.4000,0.3640,0.6360
IDP,0.3,0.1888,56.649,0.2466,0.4741,0.3220,0.6780
IDP,0.4,0.1966,55.943,0.2274,0.5111,0.2980,0.7020
IDP,0.5,0.1972,55.444,0.2082,0.5259,0.2800,0.7200
IDP,0.6,0.1946,54.919,0.1836,0.5333,0.2600,0.7400
IDP,0.7,0.1974,54.421,0.1644,0.5556,0.2400,0.7600
IDP,0.8,0.2046,53.903,0.1479,0.5926,0.2180,0.7820
IDP,0.9,0.2108,53.157,0.1178,0.6370,0.1840,0.8160
NoFilter,-,0.2700,50.000,0.0000,1.0000,0.0000,1.0000
FullRejectSampling,-,0.0000,68.493,0.0000,0.0000,0.2700,0.7300
Oracle,-,0.0000,55.178,0.0000,0.0000,0.2700,0.7300
RandomAbort,0.1,0.2828,60.138,-,-,0.4140,0.5800
RandomAbort,0.2,0.2810,58.876,-,-,0.3640,0.6120
RandomAbort,0.3,0.3035,56.231,-,-,0.3220,0.6920
RandomAbort,0.4,0.2614,55.886,-,-,0.2980,0.7040
RandomAbort,0.5,0.2698,55.074,-,-,0.2800,0.7340
RandomAbort,0.6,0.2594,54.717,-,-,0.2600,0.7480
RandomAbort,0.7,0.2701,54.182,-,-,0.2400,0.7700
RandomAbort,0.8,0.2868,54.088,-,-,0.2180,0.7740
RandomAbort,0.9,0.2475,53.500,-,-,0.1840,0.8000
