step,block_name,auc
1,D0R0,0.53968
1,D0R1,0.84577
1,D1R0,0.83964
1,D1R1,0.83596
1,D2R0,0.80727
1,D2R1,0.80757
1,D3R0,0.79126
1,D3R1,0.80006
1,MidR0,0.79737
1,MidR1,0.79872
1,U0R0,0.80264
1,U0R1,0.79356
1,U0R2,0.79614
1,U1R0,0.81473
1,U1R1,0.80302
1,U1R2,0.79130
1,U2R0,0.81185
1,U2R1,0.81683
1,U2R2,0.81846
1,U3R0,0.82110
1,U3R1,0.82591
1,U3R2,0.82280
2,D0R0,0.66827
2,D0R1,0.84380
2,D1R0,0.84077
2,D1R1,0.83348
2,D2R0,0.80483
2,D2R1,0.80248
2,D3R0,0.78112
2,D3R1,0.79781
2,MidR0,0.79477
2,MidR1,0.80626
2,U0R0,0.80767
2,U0R1,0.79606
2,U0R2,0.79886
2,U1R0,0.80030
2,U1R1,0.80649
2,U1R2,0.78715
2,U2R0,0.81207
2,U2R1,0.81317
2,U2R2,0.81558
2,U3R0,0.81679
2,U3R1,0.82113
2,U3R2,0.81500
3,D0R0,0.66856
3,D0R1,0.84255
3,D1R0,0.83996
3,D1R1,0.83421
3,D2R0,0.80116
3,D2R1,0.79407
3,D3R0,0.77658
3,D3R1,0.77935
3,MidR0,0.78814
3,MidR1,0.80159
3,U0R0,0.80365
3,U0R1,0.78898
3,U0R2,0.79256
3,U1R0,0.78583
3,U1R1,0.80038
3,U1R2,0.78572
3,U2R0,0.80895
3,U2R1,0.81801
3,U2R2,0.81394
3,U3R0,0.82627
3,U3R1,0.82360
3,U3R2,0.81316
4,D0R0,0.68904
4,D0R1,0.84131
4,D1R0,0.83907
4,D1R1,0.83460
4,D2R0,0.79601
4,D2R1,0.78621
4,D3R0,0.77658
4,D3R1,0.76565
4,MidR0,0.77548
4,MidR1,0.79598
4,U0R0,0.79199
4,U0R1,0.78581
4,U0R2,0.76848
4,U1R0,0.78696
4,U1R1,0.80607
4,U1R2,0.78618
4,U2R0,0.80782
4,U2R1,0.82175
4,U2R2,0.82180
4,U3R0,0.83001
4,U3R1,0.82104
4,U3R2,0.81250
5,D0R0,0.68142
5,D0R1,0.84142
5,D1R0,0.83937
5,D1R1,0.83560
5,D2R0,0.79632
5,D2R1,0.78876
5,D3R0,0.77669
5,D3R1,0.77263
5,MidR0,0.76592
5,MidR1,0.80057
5,U0R0,0.78965
5,U0R1,0.77656
5,U0R2,0.76138
5,U1R0,0.80119
5,U1R1,0.80744
5,U1R2,0.78890
5,U2R0,0.81804
5,U2R1,0.83417
5,U2R2,0.83444
5,U3R0,0.82977
5,U3R1,0.82037
5,U3R2,0.81228
6,D0R0,0.69240
6,D0R1,0.84216
6,D1R0,0.83937
6,D1R1,0.83614
6,D2R0,0.79388
6,D2R1,0.79867
6,D3R0,0.77862
6,D3R1,0.76432
6,MidR0,0.75649
6,MidR1,0.80450
6,U0R0,0.80884
6,U0R1,0.78048
6,U0R2,0.76799
6,U1R0,0.81639
6,U1R1,0.80763
6,U1R2,0.78780
6,U2R0,0.83078
6,U2R1,0.83899
6,U2R2,0.83337
6,U3R0,0.82852
6,U3R1,0.82167
6,U3R2,0.81110
7,D0R0,0.69490
7,D0R1,0.84263
7,D1R0,0.83770
7,D1R1,0.83576
7,D2R0,0.79574
7,D2R1,0.80375
7,D3R0,0.77623
7,D3R1,0.76254
7,MidR0,0.75673
7,MidR1,0.80803
7,U0R0,0.80372
7,U0R1,0.77733
7,U0R2,0.78514
7,U1R0,0.81488
7,U1R1,0.79851
7,U1R2,0.78769
7,U2R0,0.82347
7,U2R1,0.83651
7,U2R2,0.83059
7,U3R0,0.82742
7,U3R1,0.82260
7,U3R2,0.80630
8,D0R0,0.70547
8,D0R1,0.84469
8,D1R0,0.83405
8,D1R1,0.83582
8,D2R0,0.79940
8,D2R1,0.80682
8,D3R0,0.76832
8,D3R1,0.76920
8,MidR0,0.77085
8,MidR1,0.80674
8,U0R0,0.79496
8,U0R1,0.77862
8,U0R2,0.78892
8,U1R0,0.79859
8,U1R1,0.79874
8,U1R2,0.78377
8,U2R0,0.81780
8,U2R1,0.82549
8,U2R2,0.82462
8,U3R0,0.82571
8,U3R1,0.82398
8,U3R2,0.80685
9,D0R0,0.70707
9,D0R1,0.84327
9,D1R0,0.83035
9,D1R1,0.83549
9,D2R0,0.79665
9,D2R1,0.80385
9,D3R0,0.76194
9,D3R1,0.77260
9,MidR0,0.78799
9,MidR1,0.80388
9,U0R0,0.78906
9,U0R1,0.77992
9,U0R2,0.78650
9,U1R0,0.79017
9,U1R1,0.79934
9,U1R2,0.78365
9,U2R0,0.81857
9,U2R1,0.81997
9,U2R2,0.82708
9,U3R0,0.82973
9,U3R1,0.82664
9,U3R2,0.81002
10,D0R0,0.70746
10,D0R1,0.84168
10,D1R0,0.82667
10,D1R1,0.83323
