step,block,auc_mean,ci_low,ci_high
1,D0R1,0.84572,0.81199,0.87887
2,D0R1,0.84408,0.81028,0.87630
3,D0R1,0.84234,0.80813,0.87475
4,D0R1,0.84223,0.80647,0.87619
5,D0R1,0.84145,0.80535,0.87284
6,D0R1,0.84172,0.80637,0.87711
7,D0R1,0.84133,0.80647,0.87395
8,D0R1,0.84514,0.81183,0.87723
9,D0R1,0.84272,0.81051,0.87417
10,D0R1,0.84280,0.81036,0.87349
11,D0R1,0.83977,0.80522,0.87237
12,D0R1,0.83776,0.80349,0.87184
13,D0R1,0.83755,0.80261,0.86964
14,D0R1,0.83434,0.79725,0.86632
15,U2R2,0.83236,0.79646,0.86567
16,U2R2,0.83251,0.79678,0.86827
17,U2R2,0.83130,0.79226,0.86737
18,U2R2,0.83041,0.79338,0.86453
19,U2R2,0.83115,0.79257,0.86963
20,U2R2,0.83139,0.79569,0.86569
21,U2R2,0.83162,0.79627,0.86762
22,U2R2,0.83228,0.79545,0.86830
23,U2R2,0.83392,0.79793,0.86790
24,U2R2,0.83180,0.79264,0.86760
25,U2R2,0.82889,0.79661,0.86387
26,U2R2,0.82488,0.78427,0.85878
27,U2R2,0.82054,0.78177,0.85680
28,U2R2,0.81721,0.77868,0.85154
29,U2R2,0.81362,0.77361,0.85103
30,U2R2,0.80927,0.77028,0.84639
31,U2R2,0.80692,0.76859,0.84342
32,U2R2,0.80464,0.76626,0.84040
33,U2R2,0.80457,0.76634,0.84206
34,U2R2,0.80221,0.76333,0.84037
35,U2R2,0.80325,0.76480,0.83923
36,U2R2,0.80395,0.76673,0.84021
37,U2R2,0.80692,0.76821,0.84508
38,U2R2,0.80770,0.77177,0.84451
39,U2R2,0.81057,0.77329,0.84683
40,U2R2,0.81054,0.77152,0.84600
41,U2R2,0.81193,0.77085,0.84878
42,U2R2,0.81103,0.77339,0.84752
43,U2R2,0.81049,0.77184,0.84625
44,U2R2,0.80985,0.77277,0.84468
45,U2R2,0.80956,0.77055,0.84413
46,U2R2,0.80794,0.76913,0.84500
47,U2R2,0.80631,0.76709,0.84183
48,U2R2,0.80676,0.76767,0.84246
49,U2R2,0.80518,0.76606,0.84282
50,U1R0,0.80260,0.76166,0.83878
