defect_type,step,auc,ci_low,ci_high,block_mode,block
hand,1,0.91887,0.88870,0.94830,lstar,D0R1
hand,2,0.91762,0.88554,0.94596,lstar,D0R1
hand,3,0.91359,0.88206,0.94441,lstar,D0R1
hand,4,0.90968,0.87427,0.94068,lstar,D0R1
hand,5,0.91027,0.87683,0.94203,lstar,D0R1
hand,6,0.90893,0.87858,0.93769,lstar,D0R1
hand,7,0.90896,0.87610,0.93632,lstar,D0R1
hand,8,0.90837,0.86882,0.94253,lstar,D0R1
hand,9,0.90896,0.87328,0.93888,lstar,D0R1
hand,10,0.90889,0.87327,0.93984,lstar,D0R1
hand,11,0.90830,0.87082,0.93715,lstar,D0R1
hand,12,0.90666,0.86867,0.93769,lstar,D0R1
hand,13,0.90610,0.87037,0.93775,lstar,D0R1
hand,14,0.90492,0.86525,0.93723,lstar,D0R1
hand,15,0.90325,0.86871,0.93117,lstar,D0R1
hand,16,0.90181,0.86447,0.93132,lstar,D0R1
hand,17,0.90079,0.86568,0.93255,lstar,D0R1
hand,18,0.90030,0.86363,0.93126,lstar,D0R1
hand,19,0.89915,0.86898,0.93128,lstar,D0R1
hand,20,0.89865,0.86244,0.93139,lstar,D0R1
hand,21,0.89760,0.86109,0.92775,lstar,D0R1
hand,22,0.89619,0.86524,0.92725,lstar,D0R1
hand,23,0.89442,0.85985,0.92324,lstar,D0R1
hand,24,0.89301,0.85296,0.92196,lstar,D0R1
hand,25,0.89068,0.85624,0.92286,lstar,D0R1
hand,26,0.88950,0.84900,0.92322,lstar,D0R1
hand,27,0.88864,0.85188,0.91936,lstar,D0R1
hand,28,0.88773,0.85054,0.92023,lstar,D0R1
hand,29,0.88658,0.85009,0.91871,lstar,D0R1
hand,30,0.88595,0.84472,0.92159,lstar,D0R1
hand,31,0.88490,0.84970,0.91755,lstar,D0R1
hand,32,0.88349,0.84860,0.91738,lstar,D0R1
hand,33,0.88333,0.84654,0.91806,lstar,D0R1
hand,34,0.88234,0.84731,0.91689,lstar,D0R1
hand,35,0.88195,0.84232,0.91495,lstar,D0R1
hand,36,0.88110,0.84357,0.91515,lstar,D0R1
hand,37,0.87890,0.84011,0.91265,lstar,D0R1
hand,38,0.87598,0.84027,0.91166,lstar,D0R1
hand,39,0.87463,0.83460,0.90704,lstar,D0R1
hand,40,0.87283,0.83899,0.90960,lstar,D0R1
hand,41,0.86935,0.83029,0.90400,lstar,D0R1
hand,42,0.86656,0.82300,0.90489,lstar,D0R1
hand,43,0.86442,0.82624,0.90101,lstar,D0R1
hand,44,0.86124,0.82058,0.89671,lstar,D0R1
hand,45,0.85829,0.81578,0.90087,lstar,D0R1
hand,46,0.85569,0.81275,0.89487,lstar,D0R1
hand,47,0.85218,0.81444,0.89149,lstar,D0R1
hand,48,0.84933,0.80434,0.88445,lstar,D0R1
hand,49,0.84690,0.80366,0.88621,lstar,D0R1
hand,50,0.84539,0.80197,0.88325,lstar,D0R1
hand,1,0.92527,0.89488,0.94923,perbest,U2R2
hand,2,0.92340,0.89896,0.94856,perbest,U2R2
hand,3,0.91946,0.89023,0.94483,perbest,U2R2
hand,4,0.92189,0.89569,0.94676,perbest,U2R1
hand,5,0.92100,0.89244,0.94514,perbest,D1R1
hand,6,0.91966,0.88991,0.94615,perbest,U2R0
hand,7,0.91808,0.88899,0.94374,perbest,U2R0
hand,8,0.91657,0.88727,0.94473,perbest,U3R1
hand,9,0.92271,0.89705,0.94877,perbest,U3R1
hand,10,0.92307,0.89860,0.94621,perbest,U3R1
hand,11,0.92176,0.89434,0.94474,perbest,U3R1
hand,12,0.92396,0.89861,0.94961,perbest,U1R1
hand,13,0.92419,0.89738,0.94853,perbest,U1R1
hand,14,0.92242,0.89394,0.94924,perbest,U1R1
hand,15,0.91884,0.89046,0.94395,perbest,U1R1
hand,16,0.91477,0.88550,0.94009,perbest,U1R1
hand,17,0.91227,0.88528,0.94217,perbest,U1R1
hand,18,0.90935,0.87801,0.93564,perbest,U1R1
hand,19,0.90768,0.87768,0.93590,perbest,U1R1
hand,20,0.90788,0.87538,0.93631,perbest,MidR1
hand,21,0.91008,0.88331,0.93726,perbest,MidR1
hand,22,0.91359,0.88533,0.94063,perbest,MidR1
hand,23,0.91670,0.88857,0.94354,perbest,U1R1
hand,24,0.91923,0.89041,0.94897,perbest,U1R1
hand,25,0.92045,0.89177,0.94485,perbest,U1R1
hand,26,0.92009,0.89213,0.94739,perbest,U1R1
hand,27,0.91972,0.89229,0.94417,perbest,U1R1
hand,28,0.91818,0.89109,0.94320,perbest,U1R1
hand,29,0.91569,0.88348,0.94034,perbest,U1R1
hand,30,0.91546,0.88895,0.94293,perbest,D3R0
hand,31,0.91382,0.88562,0.93679,perbest,D3R0
hand,32,0.91096,0.88231,0.94037,perbest,D3R0
hand,33,0.90866,0.87850,0.93563,perbest,D3R0
hand,34,0.90699,0.87680,0.93630,perbest,D3R0
hand,35,0.90640,0.87827,0.93237,perbest,U0R0
hand,36,0.90738,0.87527,0.93231,perbest,U0R0
hand,37,0.91044,0.87885,0.93712,perbest,U0R0
hand,38,0.91096,0.88579,0.93740,perbest,U0R0
hand,39,0.91342,0.88333,0.94105,perbest,U0R0
hand,40,0.91611,0.88851,0.94437,perbest,U0R0
hand,41,0.91858,0.89204,0.94266,perbest,U0R0
hand,42,0.91966,0.89338,0.94792,perbest,U0R0
hand,43,0.92045,0.89365,0.94628,perbest,U0R0
hand,44,0.92104,0.88862,0.94888,perbest,U0R0
hand,45,0.91979,0.89054,0.94752,perbest,U0R0
hand,46,0.91913,0.89375,0.94356,perbest,U0R0
hand,47,0.91861,0.89256,0.94028,perbest,U0R0
hand,48,0.91995,0.89153,0.94228,perbest,U0R0
hand,49,0.91894,0.89247,0.94306,perbest,U0R0
hand,50,0.91428,0.88977,0.93897,perbest,U0R0
face,1,0.88555,0.83949,0.92766,lstar,D0R1
face,2,0.88220,0.83173,0.92273,lstar,D0R1
face,3,0.88381,0.83169,0.92543,lstar,D0R1
face,4,0.87966,0.83104,0.92272,lstar,D0R1
face,5,0.87779,0.83081,0.91813,lstar,D0R1
face,6,0.87391,0.82544,0.92289,lstar,D0R1
face,7,0.86870,0.81603,0.91254,lstar,D0R1
face,8,0.86148,0.80867,0.91016,lstar,D0R1
face,9,0.86094,0.80318,0.90938,lstar,D0R1
face,10,0.85693,0.79622,0.90841,lstar,D0R1
face,11,0.85773,0.79355,0.90752,lstar,D0R1
face,12,0.85827,0.79310,0.90715,lstar,D0R1
face,13,0.85800,0.79756,0.91162,lstar,D0R1
face,14,0.85640,0.79701,0.90246,lstar,D0R1
face,15,0.85586,0.79173,0.91304,lstar,D0R1
face,16,0.85412,0.79436,0.90797,lstar,D0R1
face,17,0.84811,0.78629,0.90306,lstar,D0R1
face,18,0.84517,0.78131,0.90293,lstar,D0R1
face,19,0.83942,0.77006,0.89360,lstar,D0R1
face,20,0.83300,0.76348,0.89892,lstar,D0R1
face,21,0.82819,0.76176,0.89274,lstar,D0R1
face,22,0.82137,0.74337,0.88592,lstar,D0R1
face,23,0.81508,0.74002,0.88152,lstar,D0R1
face,24,0.81227,0.72874,0.87844,lstar,D0R1
face,25,0.80505,0.71828,0.87713,lstar,D0R1
face,26,0.79717,0.70117,0.86980,lstar,D0R1
face,27,0.78821,0.69768,0.86790,lstar,D0R1
face,28,0.78045,0.68279,0.85945,lstar,D0R1
face,29,0.77390,0.68016,0.85392,lstar,D0R1
face,30,0.76855,0.66990,0.86366,lstar,D0R1
face,31,0.76521,0.66482,0.85678,lstar,D0R1
face,32,0.76454,0.67301,0.85428,lstar,D0R1
face,33,0.76735,0.68290,0.85684,lstar,D0R1
face,34,0.76935,0.67340,0.84563,lstar,D0R1
face,35,0.77069,0.68135,0.85218,lstar,D0R1
face,36,0.77082,0.67670,0.85171,lstar,D0R1
face,37,0.77377,0.68660,0.85647,lstar,D0R1
face,38,0.77684,0.68981,0.85068,lstar,D0R1
face,39,0.77911,0.67727,0.85861,lstar,D0R1
face,40,0.78313,0.69856,0.86412,lstar,D0R1
face,41,0.78527,0.69030,0.86320,lstar,D0R1
face,42,0.78901,0.69240,0.87126,lstar,D0R1
face,43,0.79155,0.69759,0.87562,lstar,D0R1
face,44,0.79422,0.69501,0.87970,lstar,D0R1
face,45,0.79369,0.69789,0.87907,lstar,D0R1
face,46,0.79583,0.70088,0.87806,lstar,D0R1
face,47,0.79663,0.69630,0.88217,lstar,D0R1
face,48,0.79824,0.71861,0.89001,lstar,D0R1
face,49,0.79529,0.71025,0.88168,lstar,D0R1
face,50,0.78379,0.69216,0.86416,lstar,D0R1
face,1,0.90146,0.85666,0.94052,perbest,U1R0
face,2,0.89196,0.85054,0.93260,perbest,U1R0
face,3,0.88381,0.83666,0.92264,perbest,D0R1
face,4,0.87966,0.83303,0.92145,perbest,D0R1
face,5,0.87779,0.83247,0.91807,perbest,D0R1
face,6,0.87391,0.82127,0.92247,perbest,D0R1
face,7,0.87365,0.82869,0.92469,perbest,D1R0
face,8,0.86816,0.81787,0.91201,perbest,D1R0
face,9,0.87231,0.82924,0.91218,perbest,D1R1
