method,threshold,defect_rate,unet_calls_per_accepted,fpr,fnr,abort_rate
IDP,0.1,0.2000,51.794,0.4440,0.1475,0.6421
IDP,0.2,0.2735,51.053,0.3127,0.2746,0.5129
IDP,0.3,0.3379,50.734,0.2587,0.4016,0.4235
IDP,0.4,0.3600,50.548,0.1969,0.4795,0.3539
IDP,0.5,0.3864,50.429,0.1660,0.5574,0.3002
IDP,0.6,0.4105,50.324,0.1351,0.6393,0.2445
IDP,0.7,0.4131,50.267,0.1004,0.6721,0.2107
IDP,0.8,0.4258,50.203,0.0734,0.7295,0.1690
IDP,0.9,0.4404,50.130,0.0386,0.8033,0.1153
NoFilter,-,0.4851,50.000,0,1,0
FullRejectSampling,-,0,97.104,0,0,0.4851
Oracle,-,0,50.942,0,0,0.4851
RandomAbort,0.1,0.4862,51.779,-,-,0.6421
RandomAbort,0.2,0.5277,51.140,-,-,0.5129
RandomAbort,0.3,0.4801,50.666,-,-,0.4235
RandomAbort,0.4,0.4706,50.557,-,-,0.3539
RandomAbort,0.5,0.4641,50.390,-,-,0.3002
RandomAbort,0.6,0.4896,50.310,-,-,0.2445
RandomAbort,0.7,0.4673,50.264,-,-,0.2107
RandomAbort,0.8,0.4807,50.215,-,-,0.1690
RandomAbort,0.9,0.4932,50.143,-,-,0.1153
